Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 2,TV-32111,3/10/2015 0:00,"Pressure test is good, air leakage from actuator bushing, replace it movement test is ok.",,
AFC 2,TV-32111,24-8-2019,"change packing and actuator washer, leak test and check movement",,
AFC 2,TV-32112,29-8-2019,"Machining for plug and change seat, leak test and check movement",,
AFC 2,TV-32123,4/10/2015 0:00,"Leakage through found at pressure test is 65 ml/min, for this valve class type it is accepted up to 260 ml/min, movement and actuator test are ok.",,
AFC 2,TV-32123,20-8-2019,Valves delivered to workshop,,
AFC 2,TV-32160,28-4-2020,paint,,
AFC 2,TV-32160,6/12/2021 0:00,gland,,ahmed salah
AFC 2,TV-33001,22-8-2019,"Dismount, send its internal to workshop",,
AFC 2,TV-34010,1/5/2021 0:00,bushing,,
AFC 2,TV-81003,4/10/2015 0:00,"Heavy leakage through found, dismantle internals for machining , After body machining, replace plug, seat silencer and gasket, test ok.",,
AFC 2,TV-81003,20-8-2019,Dismount; send plug and seat for machining,,
AFC 2,XV-05901,26-8-2019,Dismount the valve and send its body to maintenance group to check,,
AFC 2,XV-05901,29-8-2019,Change piston seal kit and change its internal by manual valves work shop,,
AFC 2,XV-07911,13-10-2015,"Dismantle actuator at field, to replace actuator cover due to air leakage, Replace all internals soft kit, After replacing all soft seals and proximity switch, movement and air leakage test are ok.",,
AFC 2,XV-07912,15-10-2015,Replace packing at field,,
AFC 2,XV-07913,11/10/2015 0:00,"Remove seat clamp and cap nut, by heating around valve body, Fabricate tool to extract seat from body, extract both seats, Clean internals, adjustment for seat clamp and cap, assemble valve after replacing plug, seat and all soft parts, leakage through test with air up to 9 bar is ok, Pressure, movement and quick close tests, are ok.",,
AFC 2,XV-07914,13-10-2015,"Fabricate tool to extract seat from body, extract both seats, Cleaning valve internals, check seat clamp and cap threads, Replace piston plug, seat and all soft parts, pressure and movement test are ok.",,
AFC 2,XV-11901,12/7/2020 0:00,Leak though test 170 bar ,,
AFC 2,XV-11903,8/10/2020 0:00,Bushing & Check,,
AFC 2,XV-11903,7/12/2020 0:00,Leak through test 170 bar ,,
AFC 2,XV-21902,9/10/2015 0:00,Movement and pressure test are ok.,,
AFC 2,XV-21902,22-8-2019,Clean the valve and check its movement,,
AFC 2,XV-21902,7/7/2020 0:00,Check for movement in workshop,,
AFC 2,XV-21902,1/1/2023 0:00,Check for movement in workshop,,
AFC 2,XV-21903,7/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,XV-21903,23-8-2019,Check its movement,,
AFC 2,XV-21903,1/1/2023 0:00,Check its movement,,
AFC 2,XV-21905,1/1/2023 0:00,"Change Packing, Check Movement & tested ""15 bar"" ",,
AFC 2,XV-21906,2/1/2021 0:00,"Change ""2 pcs"" Packing & tighet the gland ""3 times""",,
AFC 2,XV-21906,10/1/2021 0:00,Change Packing At Field,,
AFC 2,XV-21908,9/10/2015 0:00,"Cleaning for internals, test is ok.",,
AFC 2,XV-21908,24-8-2019,Check its movement,,
AFC 2,XV-31959,23-8-2019,"Change internal, actuator bushing",,
AFC 2,XV-81902,20-8-2019,Change actuator seal kit adjust moving,,
AFC 2,XV-82902,25-8-2019,"Change piston, leak test and check for its movement",,
AFC 2,XV - 90925,2/1/2022 0:00,change (seat & plug& piston),,
AFC 2,XV - 32606,30-4-2020,change valve from storage,,
