warehouse_number,sap_code,oracle_code,condition,description,part_number,tag_number,MANUFATURE_CO,unit_of_measure,category
10,2200001218,0190556800020073,NEW,Recervoir Seal Orings 1h 62470699,62470699,PV-52802,,PC,ZSPR
10,2200001219,0190556800020088,NEW,Orings 1h 29230699,29230699,PV-52802,,PC,ZSPR
10,2200001220,0190556800020097,NEW,Orings 1d 6875 0699,25-DN44-64SITZQ000,PV-52802,,PC,ZSPR
10,2200001221,0190556800020100,NEW,Orings 1e 59140699,59140699,PV-52802,,PC,ZSPR
10,2200001222,0190556800020114,NEW,Packings 1p 54090699,54090699,PV-52802,,PC,ZSPR
10,2200001223,0190556800020129,NEW,Bushingsite 100 1p5410,5410,PV-52802,,PC,ZSPR
10,2200001122,0190556800020133,NEW,Packings 1p 5408,5408,PV-52802,,PC,ZSPR
10,2200001123,0190556800020148,NEW,Packings Sleeve Orings1p5412,5412,PV-52802,,PC,ZSPR
10,2200001124,0190556800020152,NEW,Diaphragm (18),,PV-52802,,PC,ZSPR
10,2200001125,0190556800020167,NEW,Stemseal Orings 1w7369 0699,25-DN433-64SITZQ000,PV-52802,,PC,ZSPR
10,2200001126,0190556800020171,NEW,Switching Valve Typ1644,1644,PV-52802,,PC,ZSPR
10,2200001127,0190556800020195,NEW,Guide R23 778,778,PV-52802,,PC,ZSPR
10,2200001128,0190556800020208,NEW,Valve Insert R23776,23776,PV-52802,,PC,ZSPR
10,2200001129,0190556800020212,NEW,Ciuide Bush R 2377ba,25-DN43-64SITZQ000,PV-52802,,PC,ZSPR
10,2200001130,0190556800020227,NEW,Pucking Line R9,9,PV-52802,,PC,ZSPR
10,2200001131,0190556800020230,NEW,Piston Ring Pn:1c71032199,71032199,PV-52802,,PC,ZSPR
10,2200001132,0190556800020246,NEW,Basering R 23777,23777,PV-52802,,PC,ZSPR
10,2200001133,0190556800020250,NEW,Packing (11),,,,PAC,ZSPR
10,2200001134,0190556800020251,NEW,Seat Bush R23774a,23774,PV-52802,,PC,ZSPR
